0	not_intrinsic
298	llvm.nvvm.suld.1d.array.i16.trap
299	llvm.nvvm.suld.1d.array.i16.zero
29A	llvm.nvvm.suld.1d.array.i32.clamp
29B	llvm.nvvm.suld.1d.array.i32.trap
29C	llvm.nvvm.suld.1d.array.i32.zero
29D	llvm.nvvm.suld.1d.array.i64.clamp
29E	llvm.nvvm.suld.1d.array.i64.trap
29F	llvm.nvvm.suld.1d.array.i64.zero
2A0	llvm.nvvm.suld.1d.array.i8.clamp
2A1	llvm.nvvm.suld.1d.array.i8.trap
2A2	llvm.nvvm.suld.1d.array.i8.zero
2A3	llvm.nvvm.suld.1d.array.v2i16.clamp
2A4	llvm.nvvm.suld.1d.array.v2i16.trap
2A5	llvm.nvvm.suld.1d.array.v2i16.zero
2A6	llvm.nvvm.suld.1d.array.v2i32.clamp
2A7	llvm.nvvm.suld.1d.array.v2i32.trap
2A8	llvm.nvvm.suld.1d.array.v2i32.zero
2A9	llvm.nvvm.suld.1d.array.v2i64.clamp
2AA	llvm.nvvm.suld.1d.array.v2i64.trap
2AB	llvm.nvvm.suld.1d.array.v2i64.zero
2AC	llvm.nvvm.suld.1d.array.v2i8.clamp
2AD	llvm.nvvm.suld.1d.array.v2i8.trap
2AE	llvm.nvvm.suld.1d.array.v2i8.zero
2AF	llvm.nvvm.suld.1d.array.v4i16.clamp
2B0	llvm.nvvm.suld.1d.array.v4i16.trap
2B1	llvm.nvvm.suld.1d.array.v4i16.zero
2B2	llvm.nvvm.suld.1d.array.v4i32.clamp
2B3	llvm.nvvm.suld.1d.array.v4i32.trap
2B4	llvm.nvvm.suld.1d.array.v4i32.zero
2B5	llvm.nvvm.suld.1d.array.v4i8.clamp
2B6	llvm.nvvm.suld.1d.array.v4i8.trap
2B7	llvm.nvvm.suld.1d.array.v4i8.zero
2B8	llvm.nvvm.suld.1d.buffer.i16.clamp
2B9	llvm.nvvm.suld.1d.buffer.i16.trap
2BA	llvm.nvvm.suld.1d.buffer.i16.zero
2BB	llvm.nvvm.suld.1d.buffer.i32.clamp
2BC	llvm.nvvm.suld.1d.buffer.i32.trap
2BD	llvm.nvvm.suld.1d.buffer.i32.zero
2BE	llvm.nvvm.suld.1d.buffer.i64.clamp
2BF	llvm.nvvm.suld.1d.buffer.i64.trap
2C0	llvm.nvvm.suld.1d.buffer.i64.zero
2C1	llvm.nvvm.suld.1d.buffer.i8.clamp
2C2	llvm.nvvm.suld.1d.buffer.i8.trap
2C3	llvm.nvvm.suld.1d.buffer.i8.zero
2C4	llvm.nvvm.suld.1d.buffer.v2i16.clamp
2C5	llvm.nvvm.suld.1d.buffer.v2i16.trap
2C6	llvm.nvvm.suld.1d.buffer.v2i16.zero
2C7	llvm.nvvm.suld.1d.buffer.v2i32.clamp
2C8	llvm.nvvm.suld.1d.buffer.v2i32.trap
2C9	llvm.nvvm.suld.1d.buffer.v2i32.zero
2CA	llvm.nvvm.suld.1d.buffer.v2i64.clamp
2CB	llvm.nvvm.suld.1d.buffer.v2i64.trap
2CC	llvm.nvvm.suld.1d.buffer.v2i64.zero
2CD	llvm.nvvm.suld.1d.buffer.v2i8.clamp
2CE	llvm.nvvm.suld.1d.buffer.v2i8.trap
2CF	llvm.nvvm.suld.1d.buffer.v2i8.zero
2D0	llvm.nvvm.suld.1d.buffer.v4i16.clamp
2D1	llvm.nvvm.suld.1d.buffer.v4i16.trap
2D2	llvm.nvvm.suld.1d.buffer.v4i16.zero
2D3	llvm.nvvm.suld.1d.buffer.v4i32.clamp
2D4	llvm.nvvm.suld.1d.buffer.v4i32.trap
2D5	llvm.nvvm.suld.1d.buffer.v4i32.zero
2D6	llvm.nvvm.suld.1d.buffer.v4i8.clamp
2D7	llvm.nvvm.suld.1d.buffer.v4i8.trap
2D8	llvm.nvvm.suld.1d.buffer.v4i8.zero
2D9	llvm.nvvm.suld.1d.i16.clamp
2DA	llvm.nvvm.suld.1d.i16.trap
2DB	llvm.nvvm.suld.1d.i16.zero
2DC	llvm.nvvm.suld.1d.i32.clamp
2DD	llvm.nvvm.suld.1d.i32.trap
2DE	llvm.nvvm.suld.1d.i32.zero
2DF	llvm.nvvm.suld.1d.i64.clamp
2E0	llvm.nvvm.suld.1d.i64.trap
2E1	llvm.nvvm.suld.1d.i64.zero
2E2	llvm.nvvm.suld.1d.i8.clamp
2E3	llvm.nvvm.suld.1d.i8.trap
2E4	llvm.nvvm.suld.1d.i8.zero
2E5	llvm.nvvm.suld.1d.v2i16.clamp
2E6	llvm.nvvm.suld.1d.v2i16.trap
2E7	llvm.nvvm.suld.1d.v2i16.zero
2E8	llvm.nvvm.suld.1d.v2i32.clamp
2E9	llvm.nvvm.suld.1d.v2i32.trap
2EA	llvm.nvvm.suld.1d.v2i32.zero
2EB	llvm.nvvm.suld.1d.v2i64.clamp
2EC	llvm.nvvm.suld.1d.v2i64.trap
2ED	llvm.nvvm.suld.1d.v2i64.zero
2EE	llvm.nvvm.suld.1d.v2i8.clamp
2EF	llvm.nvvm.suld.1d.v2i8.trap
2F0	llvm.nvvm.suld.1d.v2i8.zero
2F1	llvm.nvvm.suld.1d.v4i16.clamp
2F2	llvm.nvvm.suld.1d.v4i16.trap
2F3	llvm.nvvm.suld.1d.v4i16.zero
2F4	llvm.nvvm.suld.1d.v4i32.clamp
2F5	llvm.nvvm.suld.1d.v4i32.trap
2F6	llvm.nvvm.suld.1d.v4i32.zero
2F7	llvm.nvvm.suld.1d.v4i8.clamp
2F8	llvm.nvvm.suld.1d.v4i8.trap
2F9	llvm.nvvm.suld.1d.v4i8.zero
2FA	llvm.nvvm.suld.2d.array.i16.clamp
2FB	llvm.nvvm.suld.2d.array.i16.trap
2FC	llvm.nvvm.suld.2d.array.i16.zero
2FD	llvm.nvvm.suld.2d.array.i32.clamp
2FE	llvm.nvvm.suld.2d.array.i32.trap
2FF	llvm.nvvm.suld.2d.array.i32.zero
300	llvm.nvvm.suld.2d.array.i64.clamp
301	llvm.nvvm.suld.2d.array.i64.trap
302	llvm.nvvm.suld.2d.array.i64.zero
303	llvm.nvvm.suld.2d.array.i8.clamp
304	llvm.nvvm.suld.2d.array.i8.trap
305	llvm.nvvm.suld.2d.array.i8.zero
306	llvm.nvvm.suld.2d.array.v2i16.clamp
307	llvm.nvvm.suld.2d.array.v2i16.trap
308	llvm.nvvm.suld.2d.array.v2i16.zero
309	llvm.nvvm.suld.2d.array.v2i32.clamp
30A	llvm.nvvm.suld.2d.array.v2i32.trap
30B	llvm.nvvm.suld.2d.array.v2i32.zero
30C	llvm.nvvm.suld.2d.array.v2i64.clamp
30D	llvm.nvvm.suld.2d.array.v2i64.trap
30E	llvm.nvvm.suld.2d.array.v2i64.zero
30F	llvm.nvvm.suld.2d.array.v2i8.clamp
310	llvm.nvvm.suld.2d.array.v2i8.trap
311	llvm.nvvm.suld.2d.array.v2i8.zero
312	llvm.nvvm.suld.2d.array.v4i16.clamp
313	llvm.nvvm.suld.2d.array.v4i16.trap
314	llvm.nvvm.suld.2d.array.v4i16.zero
315	llvm.nvvm.suld.2d.array.v4i32.clamp
316	llvm.nvvm.suld.2d.array.v4i32.trap
317	llvm.nvvm.suld.2d.array.v4i32.zero
318	llvm.nvvm.suld.2d.array.v4i8.clamp
319	llvm.nvvm.suld.2d.array.v4i8.trap
31A	llvm.nvvm.suld.2d.array.v4i8.zero
31B	llvm.nvvm.suld.2d.i16.clamp
31C	llvm.nvvm.suld.2d.i16.trap
31D	llvm.nvvm.suld.2d.i16.zero
31E	llvm.nvvm.suld.2d.i32.clamp
31F	llvm.nvvm.suld.2d.i32.trap
320	llvm.nvvm.suld.2d.i32.zero
321	llvm.nvvm.suld.2d.i64.clamp
322	llvm.nvvm.suld.2d.i64.trap
323	llvm.nvvm.suld.2d.i64.zero
324	llvm.nvvm.suld.2d.i8.clamp
325	llvm.nvvm.suld.2d.i8.trap
326	llvm.nvvm.suld.2d.i8.zero
327	llvm.nvvm.suld.2d.v2i16.clamp
328	llvm.nvvm.suld.2d.v2i16.trap
329	llvm.nvvm.suld.2d.v2i16.zero
32A	llvm.nvvm.suld.2d.v2i32.clamp
32B	llvm.nvvm.suld.2d.v2i32.trap
32C	llvm.nvvm.suld.2d.v2i32.zero
32D	llvm.nvvm.suld.2d.v2i64.clamp
32E	llvm.nvvm.suld.2d.v2i64.trap
32F	llvm.nvvm.suld.2d.v2i64.zero
330	llvm.nvvm.suld.2d.v2i8.clamp
331	llvm.nvvm.suld.2d.v2i8.trap
332	llvm.nvvm.suld.2d.v2i8.zero
333	llvm.nvvm.suld.2d.v4i16.clamp
334	llvm.nvvm.suld.2d.v4i16.trap
335	llvm.nvvm.suld.2d.v4i16.zero
336	llvm.nvvm.suld.2d.v4i32.clamp
337	llvm.nvvm.suld.2d.v4i32.trap
338	llvm.nvvm.suld.2d.v4i32.zero
339	llvm.nvvm.suld.2d.v4i8.clamp
33A	llvm.nvvm.suld.2d.v4i8.trap
33B	llvm.nvvm.suld.2d.v4i8.zero
33C	llvm.nvvm.suld.3d.i16.clamp
33D	llvm.nvvm.suld.3d.i16.trap
33E	llvm.nvvm.suld.3d.i16.zero
33F	llvm.nvvm.suld.3d.i32.clamp
340	llvm.nvvm.suld.3d.i32.trap
341	llvm.nvvm.suld.3d.i32.zero
342	llvm.nvvm.suld.3d.i64.clamp
343	llvm.nvvm.suld.3d.i64.trap
344	llvm.nvvm.suld.3d.i64.zero
345	llvm.nvvm.suld.3d.i8.clamp
346	llvm.nvvm.suld.3d.i8.trap
347	llvm.nvvm.suld.3d.i8.zero
348	llvm.nvvm.suld.3d.v2i16.clamp
349	llvm.nvvm.suld.3d.v2i16.trap
34A	llvm.nvvm.suld.3d.v2i16.zero
34B	llvm.nvvm.suld.3d.v2i32.clamp
34C	llvm.nvvm.suld.3d.v2i32.trap
34D	llvm.nvvm.suld.3d.v2i32.zero
34E	llvm.nvvm.suld.3d.v2i64.clamp
34F	llvm.nvvm.suld.3d.v2i64.trap
350	llvm.nvvm.suld.3d.v2i64.zero
351	llvm.nvvm.suld.3d.v2i8.clamp
352	llvm.nvvm.suld.3d.v2i8.trap
353	llvm.nvvm.suld.3d.v2i8.zero
354	llvm.nvvm.suld.3d.v4i16.clamp
355	llvm.nvvm.suld.3d.v4i16.trap
356	llvm.nvvm.suld.3d.v4i16.zero
357	llvm.nvvm.suld.3d.v4i32.clamp
358	llvm.nvvm.suld.3d.v4i32.trap
359	llvm.nvvm.suld.3d.v4i32.zero
35A	llvm.nvvm.suld.3d.v4i8.clamp
35B	llvm.nvvm.suld.3d.v4i8.trap
35C	llvm.nvvm.suld.3d.v4i8.zero
35D	llvm.nvvm.suq.array.size
35E	llvm.nvvm.suq.channel.data.type
35F	llvm.nvvm.suq.channel.order
360	llvm.nvvm.suq.depth
361	llvm.nvvm.suq.height
362	llvm.nvvm.suq.width
363	llvm.nvvm.surface.atomic.cas
364	llvm.nvvm.surface.atomic.cas.cbank
365	llvm.nvvm.surface.atomic.rmw
366	llvm.nvvm.surface.atomic.rmw.cbank
367	llvm.nvvm.surface.atomic.rmw.cbank.f16x2
368	llvm.nvvm.surface.atomic.rmw.f16x2
369	llvm.nvvm.surface.load
36A	llvm.nvvm.surface.load.cbank
36B	llvm.nvvm.surface.query
36C	llvm.nvvm.surface.store
36D	llvm.nvvm.surface.store.cbank
36E	llvm.nvvm.sust.b.1d.array.i16.clamp
36F	llvm.nvvm.sust.b.1d.array.i16.trap
370	llvm.nvvm.sust.b.1d.array.i16.zero
371	llvm.nvvm.sust.b.1d.array.i32.clamp
372	llvm.nvvm.sust.b.1d.array.i32.trap
373	llvm.nvvm.sust.b.1d.array.i32.zero
374	llvm.nvvm.sust.b.1d.array.i64.clamp
375	llvm.nvvm.sust.b.1d.array.i64.trap
376	llvm.nvvm.sust.b.1d.array.i64.zero
377	llvm.nvvm.sust.b.1d.array.i8.clamp
378	llvm.nvvm.sust.b.1d.array.i8.trap
379	llvm.nvvm.sust.b.1d.array.i8.zero
37A	llvm.nvvm.sust.b.1d.array.v2i16.clamp
37B	llvm.nvvm.sust.b.1d.array.v2i16.trap
37C	llvm.nvvm.sust.b.1d.array.v2i16.zero
37D	llvm.nvvm.sust.b.1d.array.v2i32.clamp
37E	llvm.nvvm.sust.b.1d.array.v2i32.trap
37F	llvm.nvvm.sust.b.1d.array.v2i32.zero
380	llvm.nvvm.sust.b.1d.array.v2i64.clamp
381	llvm.nvvm.sust.b.1d.array.v2i64.trap
382	llvm.nvvm.sust.b.1d.array.v2i64.zero
383	llvm.nvvm.sust.b.1d.array.v2i8.clamp
384	llvm.nvvm.sust.b.1d.array.v2i8.trap
385	llvm.nvvm.sust.b.1d.array.v2i8.zero
386	llvm.nvvm.sust.b.1d.array.v4i16.clamp
387	llvm.nvvm.sust.b.1d.array.v4i16.trap
388	llvm.nvvm.sust.b.1d.array.v4i16.zero
389	llvm.nvvm.sust.b.1d.array.v4i32.clamp
38A	llvm.nvvm.sust.b.1d.array.v4i32.trap
38B	llvm.nvvm.sust.b.1d.array.v4i32.zero
38C	llvm.nvvm.sust.b.1d.array.v4i8.clamp
38D	llvm.nvvm.sust.b.1d.array.v4i8.trap
38E	llvm.nvvm.sust.b.1d.array.v4i8.zero
38F	llvm.nvvm.sust.b.1d.buffer.i16.clamp
390	llvm.nvvm.sust.b.1d.buffer.i16.trap
391	llvm.nvvm.sust.b.1d.buffer.i16.zero
392	llvm.nvvm.sust.b.1d.buffer.i32.clamp
393	llvm.nvvm.sust.b.1d.buffer.i32.trap
394	llvm.nvvm.sust.b.1d.buffer.i32.zero
395	llvm.nvvm.sust.b.1d.buffer.i64.clamp
396	llvm.nvvm.sust.b.1d.buffer.i64.trap
397	llvm.nvvm.sust.b.1d.buffer.i64.zero
398	llvm.nvvm.sust.b.1d.buffer.i8.clamp
399	llvm.nvvm.sust.b.1d.buffer.i8.trap
39A	llvm.nvvm.sust.b.1d.buffer.i8.zero
39B	llvm.nvvm.sust.b.1d.buffer.v2i16.clamp
39C	llvm.nvvm.sust.b.1d.buffer.v2i16.trap
39D	llvm.nvvm.sust.b.1d.buffer.v2i16.zero
39E	llvm.nvvm.sust.b.1d.buffer.v2i32.clamp
39F	llvm.nvvm.sust.b.1d.buffer.v2i32.trap
3A0	llvm.nvvm.sust.b.1d.buffer.v2i32.zero
3A1	llvm.nvvm.sust.b.1d.buffer.v2i64.clamp
3A2	llvm.nvvm.sust.b.1d.buffer.v2i64.trap
3A3	llvm.nvvm.sust.b.1d.buffer.v2i64.zero
3A4	llvm.nvvm.sust.b.1d.buffer.v2i8.clamp
3A5	llvm.nvvm.sust.b.1d.buffer.v2i8.trap
3A6	llvm.nvvm.sust.b.1d.buffer.v2i8.zero
3A7	llvm.nvvm.sust.b.1d.buffer.v4i16.clamp
3A8	llvm.nvvm.sust.b.1d.buffer.v4i16.trap
3A9	llvm.nvvm.sust.b.1d.buffer.v4i16.zero
3AA	llvm.nvvm.sust.b.1d.buffer.v4i32.clamp
3AB	llvm.nvvm.sust.b.1d.buffer.v4i32.trap
3AC	llvm.nvvm.sust.b.1d.buffer.v4i32.zero
3AD	llvm.nvvm.sust.b.1d.buffer.v4i8.clamp
3AE	llvm.nvvm.sust.b.1d.buffer.v4i8.trap
3AF	llvm.nvvm.sust.b.1d.buffer.v4i8.zero
3B0	llvm.nvvm.sust.b.1d.i16.clamp
3B1	llvm.nvvm.sust.b.1d.i16.trap
3B2	llvm.nvvm.sust.b.1d.i16.zero
3B3	llvm.nvvm.sust.b.1d.i32.clamp
3B4	llvm.nvvm.sust.b.1d.i32.trap
3B5	llvm.nvvm.sust.b.1d.i32.zero
3B6	llvm.nvvm.sust.b.1d.i64.clamp
3B7	llvm.nvvm.sust.b.1d.i64.trap
3B8	llvm.nvvm.sust.b.1d.i64.zero
3B9	llvm.nvvm.sust.b.1d.i8.clamp
3BA	llvm.nvvm.sust.b.1d.i8.trap
3BB	llvm.nvvm.sust.b.1d.i8.zero
3BC	llvm.nvvm.sust.b.1d.v2i16.clamp
3BD	llvm.nvvm.sust.b.1d.v2i16.trap
3BE	llvm.nvvm.sust.b.1d.v2i16.zero
3BF	llvm.nvvm.sust.b.1d.v2i32.clamp
3C0	llvm.nvvm.sust.b.1d.v2i32.trap
3C1	llvm.nvvm.sust.b.1d.v2i32.zero
3C2	llvm.nvvm.sust.b.1d.v2i64.clamp
3C3	llvm.nvvm.sust.b.1d.v2i64.trap
3C4	llvm.nvvm.sust.b.1d.v2i64.zero
3C5	llvm.nvvm.sust.b.1d.v2i8.clamp
3C6	llvm.nvvm.sust.b.1d.v2i8.trap
3C7	llvm.nvvm.sust.b.1d.v2i8.zero
3C8	llvm.nvvm.sust.b.1d.v4i16.clamp
3C9	llvm.nvvm.sust.b.1d.v4i16.trap
3CA	llvm.nvvm.sust.b.1d.v4i16.zero
3CB	llvm.nvvm.sust.b.1d.v4i32.clamp
3CC	llvm.nvvm.sust.b.1d.v4i32.trap
3CD	llvm.nvvm.sust.b.1d.v4i32.zero
3CE	llvm.nvvm.sust.b.1d.v4i8.clamp
3CF	llvm.nvvm.sust.b.1d.v4i8.trap
3D0	llvm.nvvm.sust.b.1d.v4i8.zero
3D1	llvm.nvvm.sust.b.2d.array.i16.clamp
3D2	llvm.nvvm.sust.b.2d.array.i16.trap
3D3	llvm.nvvm.sust.b.2d.array.i16.zero
3D4	llvm.nvvm.sust.b.2d.array.i32.clamp
3D5	llvm.nvvm.sust.b.2d.array.i32.trap
3D6	llvm.nvvm.sust.b.2d.array.i32.zero
3D7	llvm.nvvm.sust.b.2d.array.i64.clamp
3D8	llvm.nvvm.sust.b.2d.array.i64.trap
3D9	llvm.nvvm.sust.b.2d.array.i64.zero
3DA	llvm.nvvm.sust.b.2d.array.i8.clamp
3DB	llvm.nvvm.sust.b.2d.array.i8.trap
3DC	llvm.nvvm.sust.b.2d.array.i8.zero
3DD	llvm.nvvm.sust.b.2d.array.v2i16.clamp
3DE	llvm.nvvm.sust.b.2d.array.v2i16.trap
3DF	llvm.nvvm.sust.b.2d.array.v2i16.zero
3E0	llvm.nvvm.sust.b.2d.array.v2i32.clamp
3E1	llvm.nvvm.sust.b.2d.array.v2i32.trap
3E2	llvm.nvvm.sust.b.2d.array.v2i32.zero
3E3	llvm.nvvm.sust.b.2d.array.v2i64.clamp
3E4	llvm.nvvm.sust.b.2d.array.v2i64.trap
3E5	llvm.nvvm.sust.b.2d.array.v2i64.zero
3E6	llvm.nvvm.sust.b.2d.array.v2i8.clamp
3E7	llvm.nvvm.sust.b.2d.array.v2i8.trap
3E8	llvm.nvvm.sust.b.2d.array.v2i8.zero
3E9	llvm.nvvm.sust.b.2d.array.v4i16.clamp
3EA	llvm.nvvm.sust.b.2d.array.v4i16.trap
3EB	llvm.nvvm.sust.b.2d.array.v4i16.zero
3EC	llvm.nvvm.sust.b.2d.array.v4i32.clamp
3ED	llvm.nvvm.sust.b.2d.array.v4i32.trap
3EE	llvm.nvvm.sust.b.2d.array.v4i32.zero
3EF	llvm.nvvm.sust.b.2d.array.v4i8.clamp
3F0	llvm.nvvm.sust.b.2d.array.v4i8.trap
3F1	llvm.nvvm.sust.b.2d.array.v4i8.zero
3F2	llvm.nvvm.sust.b.2d.i16.clamp
3F3	llvm.nvvm.sust.b.2d.i16.trap
3F4	llvm.nvvm.sust.b.2d.i16.zero
3F5	llvm.nvvm.sust.b.2d.i32.clamp
3F6	llvm.nvvm.sust.b.2d.i32.trap
3F7	llvm.nvvm.sust.b.2d.i32.zero
3F8	llvm.nvvm.sust.b.2d.i64.clamp
3F9	llvm.nvvm.sust.b.2d.i64.trap
3FA	llvm.nvvm.sust.b.2d.i64.zero
3FB	llvm.nvvm.sust.b.2d.i8.clamp
3FC	llvm.nvvm.sust.b.2d.i8.trap
3FD	llvm.nvvm.sust.b.2d.i8.zero
3FE	llvm.nvvm.sust.b.2d.v2i16.clamp
3FF	llvm.nvvm.sust.b.2d.v2i16.trap
400	llvm.nvvm.sust.b.2d.v2i16.zero
401	llvm.nvvm.sust.b.2d.v2i32.clamp
402	llvm.nvvm.sust.b.2d.v2i32.trap
403	llvm.nvvm.sust.b.2d.v2i32.zero
404	llvm.nvvm.sust.b.2d.v2i64.clamp
405	llvm.nvvm.sust.b.2d.v2i64.trap
406	llvm.nvvm.sust.b.2d.v2i64.zero
407	llvm.nvvm.sust.b.2d.v2i8.clamp
408	llvm.nvvm.sust.b.2d.v2i8.trap
409	llvm.nvvm.sust.b.2d.v2i8.zero
40A	llvm.nvvm.sust.b.2d.v4i16.clamp
40B	llvm.nvvm.sust.b.2d.v4i16.trap
40C	llvm.nvvm.sust.b.2d.v4i16.zero
40D	llvm.nvvm.sust.b.2d.v4i32.clamp
40E	llvm.nvvm.sust.b.2d.v4i32.trap
40F	llvm.nvvm.sust.b.2d.v4i32.zero
410	llvm.nvvm.sust.b.2d.v4i8.clamp
411	llvm.nvvm.sust.b.2d.v4i8.trap
412	llvm.nvvm.sust.b.2d.v4i8.zero
413	llvm.nvvm.sust.b.3d.i16.clamp
414	llvm.nvvm.sust.b.3d.i16.trap
415	llvm.nvvm.sust.b.3d.i16.zero
416	llvm.nvvm.sust.b.3d.i32.clamp
417	llvm.nvvm.sust.b.3d.i32.trap
418	llvm.nvvm.sust.b.3d.i32.zero
419	llvm.nvvm.sust.b.3d.i64.clamp
41A	llvm.nvvm.sust.b.3d.i64.trap
41B	llvm.nvvm.sust.b.3d.i64.zero
41C	llvm.nvvm.sust.b.3d.i8.clamp
41D	llvm.nvvm.sust.b.3d.i8.trap
41E	llvm.nvvm.sust.b.3d.i8.zero
41F	llvm.nvvm.sust.b.3d.v2i16.clamp
420	llvm.nvvm.sust.b.3d.v2i16.trap
421	llvm.nvvm.sust.b.3d.v2i16.zero
422	llvm.nvvm.sust.b.3d.v2i32.clamp
423	llvm.nvvm.sust.b.3d.v2i32.trap
424	llvm.nvvm.sust.b.3d.v2i32.zero
425	llvm.nvvm.sust.b.3d.v2i64.clamp
426	llvm.nvvm.sust.b.3d.v2i64.trap
427	llvm.nvvm.sust.b.3d.v2i64.zero
428	llvm.nvvm.sust.b.3d.v2i8.clamp
429	llvm.nvvm.sust.b.3d.v2i8.trap
42A	llvm.nvvm.sust.b.3d.v2i8.zero
42B	llvm.nvvm.sust.b.3d.v4i16.clamp
42C	llvm.nvvm.sust.b.3d.v4i16.trap
42D	llvm.nvvm.sust.b.3d.v4i16.zero
42E	llvm.nvvm.sust.b.3d.v4i32.clamp
42F	llvm.nvvm.sust.b.3d.v4i32.trap
430	llvm.nvvm.sust.b.3d.v4i32.zero
431	llvm.nvvm.sust.b.3d.v4i8.clamp
432	llvm.nvvm.sust.b.3d.v4i8.trap
433	llvm.nvvm.sust.b.3d.v4i8.zero
434	llvm.nvvm.sust.p.1d.array.i16.trap
435	llvm.nvvm.sust.p.1d.array.i32.trap
436	llvm.nvvm.sust.p.1d.array.i8.trap
437	llvm.nvvm.sust.p.1d.array.v2i16.trap
438	llvm.nvvm.sust.p.1d.array.v2i32.trap
439	llvm.nvvm.sust.p.1d.array.v2i8.trap
43A	llvm.nvvm.sust.p.1d.array.v4i16.trap
43B	llvm.nvvm.sust.p.1d.array.v4i32.trap
43C	llvm.nvvm.sust.p.1d.array.v4i8.trap
43D	llvm.nvvm.sust.p.1d.buffer.i16.trap
43E	llvm.nvvm.sust.p.1d.buffer.i32.trap
43F	llvm.nvvm.sust.p.1d.buffer.i8.trap
440	llvm.nvvm.sust.p.1d.buffer.v2i16.trap
441	llvm.nvvm.sust.p.1d.buffer.v2i32.trap
442	llvm.nvvm.sust.p.1d.buffer.v2i8.trap
443	llvm.nvvm.sust.p.1d.buffer.v4i16.trap
444	llvm.nvvm.sust.p.1d.buffer.v4i32.trap
445	llvm.nvvm.sust.p.1d.buffer.v4i8.trap
446	llvm.nvvm.sust.p.1d.i16.trap
447	llvm.nvvm.sust.p.1d.i32.trap
448	llvm.nvvm.sust.p.1d.i8.trap
449	llvm.nvvm.sust.p.1d.v2i16.trap
44A	llvm.nvvm.sust.p.1d.v2i32.trap
44B	llvm.nvvm.sust.p.1d.v2i8.trap
44C	llvm.nvvm.sust.p.1d.v4i16.trap
44D	llvm.nvvm.sust.p.1d.v4i32.trap
44E	llvm.nvvm.sust.p.1d.v4i8.trap
44F	llvm.nvvm.sust.p.2d.array.i16.trap
450	llvm.nvvm.sust.p.2d.array.i32.trap
451	llvm.nvvm.sust.p.2d.array.i8.trap
452	llvm.nvvm.sust.p.2d.array.v2i16.trap
453	llvm.nvvm.sust.p.2d.array.v2i32.trap
454	llvm.nvvm.sust.p.2d.array.v2i8.trap
455	llvm.nvvm.sust.p.2d.array.v4i16.trap
456	llvm.nvvm.sust.p.2d.array.v4i32.trap
457	llvm.nvvm.sust.p.2d.array.v4i8.trap
458	llvm.nvvm.sust.p.2d.i16.trap
459	llvm.nvvm.sust.p.2d.i32.trap
45A	llvm.nvvm.sust.p.2d.i8.trap
45B	llvm.nvvm.sust.p.2d.v2i16.trap
45C	llvm.nvvm.sust.p.2d.v2i32.trap
45D	llvm.nvvm.sust.p.2d.v2i8.trap
45E	llvm.nvvm.sust.p.2d.v4i16.trap
45F	llvm.nvvm.sust.p.2d.v4i32.trap
460	llvm.nvvm.sust.p.2d.v4i8.trap
461	llvm.nvvm.sust.p.3d.i16.trap
462	llvm.nvvm.sust.p.3d.i32.trap
463	llvm.nvvm.sust.p.3d.i8.trap
464	llvm.nvvm.sust.p.3d.v2i16.trap
465	llvm.nvvm.sust.p.3d.v2i32.trap
466	llvm.nvvm.sust.p.3d.v2i8.trap
467	llvm.nvvm.sust.p.3d.v4i16.trap
468	llvm.nvvm.sust.p.3d.v4i32.trap
469	llvm.nvvm.sust.p.3d.v4i8.trap
46A	llvm.nvvm.swap.lo.hi.b64
46B	llvm.nvvm.tanh.approx
46C	llvm.nvvm.tex.1d.array.grad.v4f32.f32
46D	llvm.nvvm.tex.1d.array.grad.v4s32.f32
46E	llvm.nvvm.tex.1d.array.grad.v4u32.f32
46F	llvm.nvvm.tex.1d.array.level.v4f32.f32
470	llvm.nvvm.tex.1d.array.level.v4s32.f32
471	llvm.nvvm.tex.1d.array.level.v4u32.f32
472	llvm.nvvm.tex.1d.array.v4f32.f32
473	llvm.nvvm.tex.1d.array.v4f32.s32
474	llvm.nvvm.tex.1d.array.v4s32.f32
475	llvm.nvvm.tex.1d.array.v4s32.s32
476	llvm.nvvm.tex.1d.array.v4u32.f32
477	llvm.nvvm.tex.1d.array.v4u32.s32
478	llvm.nvvm.tex.1d.grad.v4f32.f32
479	llvm.nvvm.tex.1d.grad.v4s32.f32
47A	llvm.nvvm.tex.1d.grad.v4u32.f32
47B	llvm.nvvm.tex.1d.level.v4f32.f32
47C	llvm.nvvm.tex.1d.level.v4s32.f32
47D	llvm.nvvm.tex.1d.level.v4u32.f32
47E	llvm.nvvm.tex.1d.v4f32.f32
47F	llvm.nvvm.tex.1d.v4f32.s32
480	llvm.nvvm.tex.1d.v4s32.f32
481	llvm.nvvm.tex.1d.v4s32.s32
482	llvm.nvvm.tex.1d.v4u32.f32
483	llvm.nvvm.tex.1d.v4u32.s32
484	llvm.nvvm.tex.2d.array.grad.v4f32.f32
485	llvm.nvvm.tex.2d.array.grad.v4s32.f32
486	llvm.nvvm.tex.2d.array.grad.v4u32.f32
487	llvm.nvvm.tex.2d.array.level.v4f32.f32
488	llvm.nvvm.tex.2d.array.level.v4s32.f32
489	llvm.nvvm.tex.2d.array.level.v4u32.f32
48A	llvm.nvvm.tex.2d.array.v4f32.f32
48B	llvm.nvvm.tex.2d.array.v4f32.s32
48C	llvm.nvvm.tex.2d.array.v4s32.f32
48D	llvm.nvvm.tex.2d.array.v4s32.s32
