FC	FDIV321r_prec_ftz
FD	FDIV32approxrr
FE	FDIV32approxrr_ftz
FF	FDIV32ri
100	FDIV32ri_ftz
101	FDIV32ri_prec
102	FDIV32ri_prec_ftz
103	FDIV32rr
104	FDIV32rr_ftz
105	FDIV32rr_prec
106	FDIV32rr_prec_ftz
107	FDIV641r
108	FDIV64ri
109	FDIV64rr
10A	FMA32_ftzrii
10B	FMA32_ftzrir
10C	FMA32_ftzrri
10D	FMA32_ftzrrr
10E	FMA32rii
10F	FMA32rir
110	FMA32rri
111	FMA32rrr
112	FMA64rii
113	FMA64rir
114	FMA64rri
115	FMA64rrr
116	FMOV32ri
117	FMOV32rr
118	FMOV64ri
119	FMOV64rr
11A	FMUL_rnf32ri
11B	FMUL_rnf32ri_ftz
11C	FMUL_rnf32rr
11D	FMUL_rnf32rr_ftz
11E	FMUL_rnf64ri
11F	FMUL_rnf64rr
120	FMULf32ri
121	FMULf32ri_ftz
122	FMULf32rr
123	FMULf32rr_ftz
124	FMULf64ri
125	FMULf64rr
126	FNEGf32
127	FNEGf32_ftz
128	FNEGf64
129	FSQRTf32
12A	FSQRTf32_ftz
12B	FSQRTf64
12C	FSUB_rnf32ri
12D	FSUB_rnf32ri_ftz
12E	FSUB_rnf32rr
12F	FSUB_rnf32rr_ftz
130	FSUB_rnf64ri
131	FSUB_rnf64rr
132	FSUBf32ri
133	FSUBf32ri_ftz
134	FSUBf32rr
135	FSUBf32rr_ftz
136	FSUBf64ri
137	FSUBf64rr
138	FUNSHFLCLAMP
139	FUNSHFRCLAMP
13A	GET_HI_INT64
13B	GET_LO_INT64
13C	GOTO
13D	HMMA_M16N16K16_LD_AB
13E	HMMA_M16N16K16_LD_AB_64
13F	HMMA_M16N16K16_LD_C_F16
140	HMMA_M16N16K16_LD_C_F16_64
141	HMMA_M16N16K16_LD_C_F32
142	HMMA_M16N16K16_LD_C_F32_64
143	HMMA_M16N16K16_MMA_F16_F16
144	HMMA_M16N16K16_MMA_F16_F32
145	HMMA_M16N16K16_MMA_F32_F16
146	HMMA_M16N16K16_MMA_F32_F32
147	HMMA_M16N16K16_ST_C_F16
148	HMMA_M16N16K16_ST_C_F16_64
149	HMMA_M16N16K16_ST_C_F32
14A	HMMA_M16N16K16_ST_C_F32_64
14B	HMMA_M32N8K16_LD_AB
14C	HMMA_M32N8K16_LD_AB_64
14D	HMMA_M32N8K16_LD_C_F16
14E	HMMA_M32N8K16_LD_C_F16_64
14F	HMMA_M32N8K16_LD_C_F32
150	HMMA_M32N8K16_LD_C_F32_64
151	HMMA_M32N8K16_MMA_F16_F16
152	HMMA_M32N8K16_MMA_F16_F32
153	HMMA_M32N8K16_MMA_F32_F16
154	HMMA_M32N8K16_MMA_F32_F32
155	HMMA_M32N8K16_ST_C_F16
156	HMMA_M32N8K16_ST_C_F16_64
157	HMMA_M32N8K16_ST_C_F32
158	HMMA_M32N8K16_ST_C_F32_64
159	HMMA_M8N32K16_LD_AB
15A	HMMA_M8N32K16_LD_AB_64
15B	HMMA_M8N32K16_LD_C_F16
15C	HMMA_M8N32K16_LD_C_F16_64
15D	HMMA_M8N32K16_LD_C_F32
15E	HMMA_M8N32K16_LD_C_F32_64
15F	HMMA_M8N32K16_MMA_F16_F16
160	HMMA_M8N32K16_MMA_F16_F32
161	HMMA_M8N32K16_MMA_F32_F16
162	HMMA_M8N32K16_MMA_F32_F32
163	HMMA_M8N32K16_ST_C_F16
164	HMMA_M8N32K16_ST_C_F16_64
165	HMMA_M8N32K16_ST_C_F32
166	HMMA_M8N32K16_ST_C_F32_64
167	I32toV2I16
168	I64toV2I32
169	I64toV4I16
16A	IMMA_M16N16K16_LD_AB
16B	IMMA_M16N16K16_LD_AB_64
16C	IMMA_M16N16K16_LD_C
16D	IMMA_M16N16K16_LD_C_64
16E	IMMA_M16N16K16_MMA
16F	IMMA_M16N16K16_ST_C
170	IMMA_M16N16K16_ST_C_64
171	IMMA_M32N8K16_LD_A
172	IMMA_M32N8K16_LD_A_64
173	IMMA_M32N8K16_LD_B
174	IMMA_M32N8K16_LD_B_64
175	IMMA_M32N8K16_LD_C
176	IMMA_M32N8K16_LD_C_64
177	IMMA_M32N8K16_MMA
178	IMMA_M32N8K16_ST_C
179	IMMA_M32N8K16_ST_C_64
17A	IMMA_M8N32K16_LD_A
17B	IMMA_M8N32K16_LD_A_64
17C	IMMA_M8N32K16_LD_B
17D	IMMA_M8N32K16_LD_B_64
17E	IMMA_M8N32K16_LD_C
17F	IMMA_M8N32K16_LD_C_64
180	IMMA_M8N32K16_MMA
181	IMMA_M8N32K16_ST_C
182	IMMA_M8N32K16_ST_C_64
183	IMMA_M8N8K32_LD_AB
184	IMMA_M8N8K32_LD_AB_64
185	IMMA_M8N8K32_LD_C
186	IMMA_M8N8K32_LD_C_64
187	IMMA_M8N8K32_MMA
188	IMMA_M8N8K32_ST_C
189	IMMA_M8N8K32_ST_C_64
18A	IMOV16ri
18B	IMOV16rr
18C	IMOV1ri
18D	IMOV1rr
18E	IMOV32ri
18F	IMOV32rr
190	IMOV64i
191	IMOV64rr
192	INEG16
193	INEG32
194	INEG64
195	INT_BARRIER0
196	INT_BARRIER0_AND
197	INT_BARRIER0_OR
198	INT_BARRIER0_POPC
199	INT_BARRIER_SYNC_CNT_II
19A	INT_BARRIER_SYNC_CNT_IR
19B	INT_BARRIER_SYNC_CNT_RI
19C	INT_BARRIER_SYNC_CNT_RR
19D	INT_BARRIER_SYNC_I
19E	INT_BARRIER_SYNC_R
19F	INT_BAR_SYNC_ALL_CNT_II
1A0	INT_BAR_SYNC_ALL_CNT_IR
1A1	INT_BAR_SYNC_ALL_CNT_RI
1A2	INT_BAR_SYNC_ALL_CNT_RR
1A3	INT_BAR_SYNC_ALL_I
1A4	INT_BAR_SYNC_ALL_R
1A5	INT_BAR_WARP_SYNC_I
1A6	INT_BAR_WARP_SYNC_R
1A7	INT_CUDA_SYNCTHREADS
1A8	INT_FNS_III
1A9	INT_FNS_IIR
1AA	INT_FNS_IRI
1AB	INT_FNS_IRR
1AC	INT_FNS_RII
1AD	INT_FNS_RIR
1AE	INT_FNS_RRI
1AF	INT_FNS_RRR
1B0	INT_MATCH32_ANY
1B1	INT_MATCH32_ANY_SYNC
1B2	INT_MATCH64_ANY
