11: XMAD
BD8: 9
BE0: LDGMC
BE8: 5
BF0: LDGSTS
BF8: 6
C00: LDL
C08: 3
C10: LDS
C18: 3
C20: LDSM
C28: 4
C30: LDT
C38: 3
C40: LDTM
C48: 4
C50: LDTRAM
C58: 6
C60: LEA
C68: 3
C70: LEPC
C78: 4
C80: LOP
C88: 3
C90: LOP3
C98: 4
CA0: LOP32I
CA8: 6
CB0: MATCH
CB8: 5
CC0: MEMBAR
CC8: 6
CD0: MERCURY__intr
CD8: 13
CE0: MERCURY_add_in16x2_dests_r_srcs_r_0
CE8: 35
CF0: MERCURY_add_in16x2_dests_r_srcs_ur_0
CF8: 36
D00: MERCURY_addmax_srcs_r_uimm_0
D08: 28
D10: MERCURY_addmax_srcs_r_ur_0
D18: 26
D20: MERCURY_addmax_srcs_r_ur_1
D28: 26
D30: MERCURY_addmax_srcs_r_ur_2
D38: 26
D40: MERCURY_addmax_srcs_uimm_r_0
D48: 28
D50: MERCURY_addmax_srcs_ur_r_0
D58: 26
D60: MERCURY_addmax_srcs_ur_r_1
D68: 26
D70: MERCURY_addmin_srcs_r_uimm_0
D78: 28
D80: MERCURY_addmin_srcs_r_uimm_1
D88: 28
D90: MERCURY_addmin_srcs_r_ur_0
D98: 26
DA0: MERCURY_addmin_srcs_r_ur_1
DA8: 26
DB0: MERCURY_addmin_srcs_uimm_r_0
DB8: 28
DC0: MERCURY_addmin_srcs_uimm_r_1
DC8: 28
DD0: MERCURY_addmin_srcs_ur_r_0
DD8: 26
DE0: MERCURY_addmin_srcs_ur_r_1
DE8: 26
DF0: MERCURY_atom_cas_int_acq_rel_dests_p_r_srcs_r2_simm_0
DF8: 53
E00: MERCURY_atom_cast_int_acq_rel_dests_p_r_srcs_r2_simm_0
E08: 54
E10: MERCURY_atom_fp_acq_rel_dests_p_r_srcs_r2_ur2_simm_0
E18: 52
E20: MERCURY_atom_fp_acq_rel_dests_p_r_srcs_r2_ur2_simm_1
E28: 52
E30: MERCURY_atom_fp_acq_rel_dests_p_r_srcs_r_ur2_simm_0
E38: 51
E40: MERCURY_atom_global_int_acq_rel_dests_p_r_srcs_r2_ur2_simm_0
E48: 60
E50: MERCURY_atom_global_int_acq_rel_policy_dests_p_r_srcs_r2_simm_0
E58: 63
E60: MERCURY_atom_int_acq_rel_policy_dests_p_r_srcs_r2_simm_0
E68: 56
E70: MERCURY_atom_shared_cta_cas_int_acq_rel_dests_r_srcs_r_simm_0
E78: 61
E80: MERCURY_atom_shared_cta_cas_int_acq_rel_dests_r_srcs_r_simm_1
E88: 61
E90: MERCURY_atom_shared_cta_cast_int_acq_rel_dests_p_srcs_r_simm_0
E98: 62
EA0: MERCURY_atom_shared_cta_cast_int_acq_rel_dests_p_srcs_r_simm_1
EA8: 62
EB0: MERCURY_atom_shared_cta_cast_int_acq_rel_dests_p_srcs_r_simm_2
EB8: 62
EC0: MERCURY_atom_shared_cta_cast_int_acq_rel_dests_p_srcs_r_simm_3
EC8: 62
ED0: MERCURY_atom_shared_cta_cast_int_acq_rel_dests_r_srcs_r_simm_0
ED8: 62
EE0: MERCURY_atom_shared_cta_int_acq_rel_dests_r_srcs_r_ur_simm_0
EE8: 60
